,Date,Power Gen MW,,
399,07/11/2013,0,,
400,08/11/2013,0,,
401,09/11/2013,0,,
402,10/11/2013,0,,
403,11/11/2013,0,,
404,12/11/2013,0,,
405,13/11/2013,0,,
406,14/11/2013,0,,
407,15/11/2013,0,,
408,16/11/2013,0,,
409,17/11/2013,0,,
410,18/11/2013,0,,
411,19/11/2013,0,,
412,20/11/2013,0,,
413,21/11/2013,0,,
414,22/11/2013,0,,
415,23/11/2013,0,,
416,24/11/2013,0,,
417,25/11/2013,0,,
418,26/11/2013,0,,
419,27/11/2013,0,,
420,28/11/2013,0,,
421,29/11/2013,0,,
422,30/11/2013,0,,
423,01/12/2013,0,,
424,02/12/2013,0,,
425,03/12/2013,0,,
426,04/12/2013,0,,
427,05/12/2013,0,,
428,06/12/2013,0,,
429,07/12/2013,0,,
430,08/12/2013,0,,
431,09/12/2013,0,,
432,10/12/2013,0,,
433,11/12/2013,0,,
434,12/12/2013,0,,
435,13/12/2013,0,,
436,14/12/2013,0,,
437,15/12/2013,0,,
438,16/12/2013,0,,
439,17/12/2013,0,,
440,18/12/2013,0,,
441,19/12/2013,0,,
442,20/12/2013,0,,
443,21/12/2013,0,,
444,22/12/2013,0,,
445,23/12/2013,0,,
446,24/12/2013,0,,
447,25/12/2013,0,,
448,26/12/2013,0,,
449,27/12/2013,0,,
450,28/12/2013,0,,
451,29/12/2013,0,,
452,30/12/2013,0,,
453,31/12/2013,0,,
454,01/01/2014,0,,
455,02/01/2014,0,,
456,03/01/2014,0,,
457,04/01/2014,0,,
458,05/01/2014,0,,
459,06/01/2014,0,,
460,07/01/2014,0,,
461,08/01/2014,0,,
462,09/01/2014,0,,
463,10/01/2014,0,,
464,11/01/2014,0,,
465,12/01/2014,0,,
466,13/01/2014,0,,
467,14/01/2014,0,,
468,15/01/2014,0,,
469,16/01/2014,0,,
470,17/01/2014,0,,
471,18/01/2014,0,,
472,19/01/2014,0,,
473,20/01/2014,0,,
474,21/01/2014,0,,
475,22/01/2014,0,,
476,23/01/2014,0,,
477,24/01/2014,0,,
478,25/01/2014,0,,
479,26/01/2014,0,,
480,27/01/2014,0,,
481,28/01/2014,0,,
482,29/01/2014,0,,
483,30/01/2014,0,,
484,31/01/2014,0,,
485,01/02/2014,0,,
486,02/02/2014,0,,
487,03/02/2014,0,,
488,04/02/2014,0,,
489,05/02/2014,0,,
490,06/02/2014,0,,
491,07/02/2014,0,,
492,08/02/2014,0,,
493,09/02/2014,0,,
494,10/02/2014,0,,
495,11/02/2014,0,,
496,12/02/2014,0,,
497,13/02/2014,0,,
498,14/02/2014,0,,
499,15/02/2014,0,,
500,16/02/2014,0,,
501,17/02/2014,0,,
502,18/02/2014,0,,
503,19/02/2014,0,,
504,20/02/2014,0,,
505,21/02/2014,0,,
506,22/02/2014,0,,
507,23/02/2014,0,,
508,24/02/2014,0,,
509,25/02/2014,0,,
510,26/02/2014,0,,
511,27/02/2014,0,,
512,28/02/2014,0,,
513,01/03/2014,0,,
514,02/03/2014,0,,
515,03/03/2014,0,,
516,04/03/2014,0,,
517,05/03/2014,0,,
518,06/03/2014,0,,
519,07/03/2014,0,,
520,08/03/2014,0,,
521,09/03/2014,0,,
522,10/03/2014,0,,
523,11/03/2014,0,,
524,12/03/2014,0,,
525,13/03/2014,0,,
526,14/03/2014,0,,
527,15/03/2014,0,,
528,16/03/2014,0,,
529,17/03/2014,0,,
530,18/03/2014,0,,
531,19/03/2014,0,,
532,20/03/2014,0,,
533,21/03/2014,0,,
534,22/03/2014,0,,
535,23/03/2014,0,,
536,24/03/2014,0,,
537,25/03/2014,0,,
538,26/03/2014,0,,
539,27/03/2014,0,,
540,28/03/2014,0,,
541,29/03/2014,0,,
542,30/03/2014,0,,
543,31/03/2014,0,,
544,01/04/2014,0,,
545,02/04/2014,0,,
546,03/04/2014,0,,
547,04/04/2014,0,,
548,05/04/2014,0,,
549,06/04/2014,0,,
550,07/04/2014,0,,
551,08/04/2014,0,,
552,09/04/2014,0,,
553,10/04/2014,0,,
554,11/04/2014,0,,
555,12/04/2014,0,,
556,13/04/2014,0,,
557,14/04/2014,0,,
558,15/04/2014,0,,
559,16/04/2014,0,,
560,17/04/2014,0,,
561,18/04/2014,0,,
562,19/04/2014,0,,
563,20/04/2014,0,,
564,21/04/2014,0,,
565,22/04/2014,0,,
566,23/04/2014,0,,
567,24/04/2014,0,,
568,25/04/2014,0,,
569,26/04/2014,0,,
570,27/04/2014,0,,
571,28/04/2014,0,,
572,29/04/2014,0,,
573,30/04/2014,0,,
574,01/05/2014,0,,
575,02/05/2014,0,,
576,03/05/2014,0,,
577,04/05/2014,0,,
578,05/05/2014,0,,
579,06/05/2014,0,,
580,07/05/2014,0,,
581,08/05/2014,0,,
582,09/05/2014,0,,
583,10/05/2014,0,,
584,11/05/2014,0,,
